step,epoch,train_loss,val_loss,learning_rate,grad_norm,step_time_ms
10,1,7.5848,,1.000000e-03,0.5097,204.11
20,1,7.1844,,9.728617e-04,0.6758,223.15
30,1,6.7289,,8.947200e-04,0.4708,210.48
40,1,6.5363,,7.750000e-04,0.3171,215.34
50,1,6.5,,6.281417e-04,0.4004,191.86
60,1,6.4886,,4.718583e-04,0.3225,215.4
70,1,6.4699,,3.250000e-04,0.3582,217.84
80,1,6.4572,,2.052800e-04,0.3365,209.91
90,1,6.4136,,1.271383e-04,0.3819,225.43
100,1,6.4002,,1.000000e-04,0.3906,214.31
50,20,5.3424,,1.435303e-03,0.2586,127.81
100,40,0.2568,,1.192831e-03,0.0383,126.41
